ID,Gene Description,Gene Accession Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Cluster_assignments
3756,Clone 23693 mRNA sequence,U79254_at,-0.165410611,0.127213299,-0.054177847,0.091096499,0.238974655,-0.134654011,-0.030678754,-0.114870113,-0.128613938,-0.147839841,-0.147309533,-0.162192526,-0.057182671,0.045487215,0.088811307,0.196379349,-0.031264688,-0.199105769,-0.141964653,-0.098486714,-0.066921138,0.020070214,-0.227788352,-0.181881644,0.016088035,-0.073552531,-0.20569789,-0.027916163,-0.160889834,-0.105104451,-0.086683135,0.31766631,0.152817661,0.110849725,4
3757,X11 protein mRNA; partial cds,U79255_at,-0.392186005,-0.304958595,-0.520192295,-0.405891722,-0.517083238,-0.485353225,-0.375935765,-0.62930107,-0.264762454,-0.037232511,-0.324458512,-0.179122263,-0.080132819,-0.327979784,-0.375660429,-0.500484586,-0.412058403,-0.050411822,-0.370038527,-0.269858419,-0.339831694,-0.480536821,-0.257526664,-0.305650563,-0.368359784,-0.308745517,-0.704538112,-0.274557031,-0.15845829,0.14870129,-0.079780804,-0.200787754,-0.281057158,-0.150450827,1
3758,Clone 23719 mRNA sequence,U79256_at,-0.109626289,-0.350084977,-0.166475552,-0.204798222,-0.214331895,-0.18727945,-0.153984829,-0.208475129,-0.258340355,-0.255492013,-0.202827514,-0.212558492,-0.190553344,-0.294975724,-0.218233283,-0.225077282,-0.262834082,-0.226215716,-0.167215689,-0.206118831,-0.206885266,-0.202160046,-0.300124788,-0.308548163,-0.267357397,-0.201205268,-0.200118021,-0.177047851,-0.194526193,-0.207219949,-0.196308392,-0.208021997,-0.281796927,-0.272265761,7
3759,Clone 23932 mRNA sequence,U79257_at,-0.204217095,-0.183464488,-0.22914356,-0.225317967,-0.288173686,-0.191390812,-0.223291348,-0.187453664,-0.238217775,-0.235228075,-0.202827514,-0.209172545,-0.211771406,-0.181632832,-0.28441023,-0.255956283,-0.225632501,-0.210606959,-0.245412446,-0.200393719,-0.21975105,-0.223754859,-0.203676206,-0.228657188,-0.300492567,-0.206130776,-0.104516278,-0.214521967,-0.196147223,-0.196627055,-0.211331113,-0.244193211,-0.205230783,-0.201958994,1
3760,Clone 23732 mRNA; partial cds,U79258_at,-0.1605598,-0.160467389,-0.292232159,-0.230653101,-0.284891829,-0.207013989,-0.221165381,-0.187453664,-0.226657995,-0.28504359,-0.171890013,-0.201554163,-0.250310335,-0.268919887,-0.250294164,-0.31062046,-0.219780567,-0.224161932,-0.22871418,-0.183981729,-0.204546033,-0.275582411,-0.231003304,-0.233624503,-0.272946462,-0.170420846,-0.193050188,-0.165576182,-0.224920494,-0.206796233,-0.17519538,-0.263886427,-0.178968965,-0.197823301,1
3761,Clone 23945 mRNA,U79259_at,-0.16824025,0.096839772,-0.147548973,-0.124360822,-0.169616588,0.111616598,-0.165890243,-0.095038542,-0.191550516,-0.190056379,-0.069330078,-0.156267119,-0.019509785,-0.192923695,-0.129449305,-0.001413169,-0.045476528,-0.057805444,0.115025731,-0.085128118,-0.04976676,-0.078480661,0.030613473,0.152170254,-0.165556573,-0.014856899,0.009313034,-0.025621829,-0.032828516,-0.270777313,-0.16017266,-0.145727129,0.049619814,-0.064353235,4
3762,Clone 23745 mRNA,U79260_at,0.070662171,0.132854097,0.050549227,-0.043513027,0.081035269,0.274837686,0.064139366,0.004912577,0.000256199,0.059443361,-0.052378023,-0.031833556,0.012100796,0.042013103,0.001671477,0.020702872,-0.004512989,0.000932773,0.044567195,-0.007266586,-0.047427527,0.945898755,0.072809727,-0.003472266,0.016088035,-0.042768108,0.020844762,-0.015297328,0.075375193,-0.057648286,-0.043645071,0.093806687,-0.017699211,0.171757191,7
3763,DHPS Deoxyhypusine synthase,U79262_at,0.143020095,0.046940407,0.032463829,0.039386742,0.137647309,0.139162726,0.143650525,0.107243484,0.244295994,0.080129465,0.096800065,0.074823783,0.039381161,0.029853713,0.111418339,0.075367049,-0.038370608,0.061314017,0.035199875,-0.000778125,-0.024814938,0.035775533,-0.006358483,0.03047105,0.032056792,0.089399678,0.132442127,0.047414459,0.028770599,0.001671921,0.009543479,-0.049270559,0.074771978,0.101826396,1
3764,Clone 23760 mRNA; partial cds,U79263_at,-0.238981238,-0.229024778,-0.204328711,-0.254456005,-0.268892774,-0.23538239,-0.211811127,-0.202922289,-0.212529376,-0.21834146,-0.188842069,-0.209172545,-0.218266731,-0.194226487,-0.294275116,-0.270561216,-0.200552783,-0.207320905,-0.197761297,-0.218332405,-0.229497855,-0.198626349,-0.191620134,-0.253493761,-0.306081632,-0.20859353,-0.171102706,-0.191578631,-0.22086792,-0.240269778,-0.188188003,-0.29644052,-0.134952679,-0.228277035,7
3765,Clone 23614 mRNA sequence,U79265_at,-0.107605118,-0.12184962,-0.110116404,-0.092760415,-0.141720801,-0.123142196,-0.213086707,-0.180710929,-0.201825876,-0.160926968,-0.126967067,-0.160076309,-0.129064267,-0.157748315,-0.145068709,-0.173334092,-0.086022072,-0.060680741,-0.128524585,-0.176348246,-0.105128616,-0.090652283,-0.073470621,-0.102818555,-0.068147157,-0.078478038,-0.034581929,-0.115100842,-0.036475832,-0.100867293,-0.207676938,-0.146932836,0.278208594,-0.147819023,1
3766,Clone 23627 mRNA,U79266_at,-0.020694762,0.161925901,-0.195916898,-0.034073945,-0.111773852,-0.017480182,-0.017072566,-0.088295808,0.031082279,-0.143196022,-0.043901995,-0.014057333,-0.110444336,-0.073066844,-0.041076364,-0.092381036,-0.114445752,0.08883472,-0.044625981,-0.102303456,-0.052885738,0.029100773,0.073613465,-0.023341524,-0.054174494,-8.04E-05,0.074783488,-0.082980171,-0.102127521,-0.107646745,-0.073690512,-0.033194464,0.146899505,0.037535181,7
3767,Clone 23840 mRNA; partial cds,U79267_at,-0.220790698,-0.202556419,-0.204749302,-0.204798222,-0.167155195,-0.183168087,-0.108914333,-0.199749238,-0.140601857,-0.225096106,-0.126543265,-0.175736315,-0.210039319,-0.182067096,-0.107253311,-0.182097052,-0.117371719,-0.190890634,-0.148481049,-0.153829469,-0.190510633,-0.24495704,-0.222965923,-0.175258558,-0.186315957,-0.185607828,-0.195282135,-0.152192569,-0.221678435,-0.205525086,-0.20605286,-0.260269306,-0.188216084,-0.185416225,1
3768,Clone 23707 mRNA; partial cds,U79270_at,-0.22483304,-0.196047806,-0.178672681,-0.162527548,-0.202435162,-0.213592169,-0.199055326,-0.231876383,-0.192834936,-0.160504802,-0.169771006,-0.194782269,-0.216534644,-0.218979532,-0.175074405,-0.177089646,-0.218108585,-0.199105769,-0.226677806,-0.170241459,-0.244313,-0.285398236,-0.179564061,-0.222448045,-0.193102678,-0.217623627,-0.250336836,-0.173988739,-0.201415568,-0.222473716,-0.188188003,-0.289206277,-0.253315801,-0.230908839,7
3769,Clones 23920 and 23921 mRNA sequence,U79271_at,-0.283042767,-0.281527589,-0.282979164,-0.277438119,-0.361195013,-0.34474463,-0.234346375,-0.214027969,-0.239930335,-0.21369764,-0.239274434,-0.2184839,-0.252042421,-0.30887217,-0.362918284,-0.319800703,-0.249040237,-0.284953933,-0.231972378,-0.248484665,-0.252500316,-0.334084724,-0.256722926,-0.303166905,-0.27733787,-0.211056283,-0.269680379,-0.228287969,-0.263419941,-0.295776543,-0.203210724,-0.305282372,-0.245178336,-0.25722688,7
3770,Clone 23720 mRNA sequence,U79272_at,-0.278191956,-0.180427136,-0.260267269,-0.215058095,-0.250842558,-0.283896466,-0.203732453,-0.180710929,-0.197116336,-0.208631656,-0.182908849,-0.182931453,-0.240350836,-0.265011511,-0.250705201,-0.294346392,-0.207240708,-0.21553604,-0.22952873,-0.217569057,-0.217021944,-0.265373954,-0.210106112,-0.246870675,-0.290911313,-0.227064183,-0.191934214,-0.206874188,-0.253693764,-0.217389127,-0.2214816,-0.29483291,-0.259973727,-0.240308139,4
3771,Clone 23933 mRNA sequence,U79273_at,0.291374052,0.079049564,0.14223799,-0.125181612,0.449013527,0.021988897,-0.094032565,-0.000640263,-0.166290257,0.178493998,1.024077495,0.099795144,-0.033366479,0.379001931,0.131970186,1.568408462,0.047318428,-0.047536524,-0.103273549,-0.190851864,-0.263806611,0.50614983,-0.155050046,-0.010509295,-0.116452646,-0.126912196,-0.132043628,-0.141485679,0.251662134,0.094889388,-0.099269739,0.651647183,1.528788955,0.376285969,7
3772,Clone 23733 mRNA,U79274_at,-0.061926652,0.123742039,-0.104228135,0.043490691,-0.055982277,-0.010490866,0.028848317,-0.025628043,-0.02714476,0.229998175,-0.059158845,-0.078813575,-0.134693549,-0.17034197,0.078946421,0.099152225,-0.158335258,-0.077111011,-0.023447693,-0.112226984,-0.13047031,-0.126381883,-0.134956592,-0.087502669,-0.010659632,-0.00254313,-0.076988928,0.017588121,-0.044175721,-0.084766094,-0.127285082,-0.079413237,0.090677022,-0.066985039,1
3773,Clone 23947 mRNA; partial cds,U79275_at,0.10704325,-0.006864126,-0.157643148,-0.038177894,-0.196691912,0.055702069,-0.101260852,-0.127562319,-0.117482298,-0.029633534,-0.045173399,0.074400539,-0.098752751,-0.096951361,-0.228920243,-0.176255079,-0.202642759,0.018184557,-0.064582445,-0.119860468,-0.07783756,4.59E-05,-0.01680708,-0.139245528,-0.118847959,-0.039073978,-0.087404682,0.032883679,-0.074164764,0.058449833,-0.12931518,0.041559378,-0.03471391,0.019112553,1
3774,Clone 23548 mRNA sequence,U79277_at,-0.184813853,-0.224251795,-0.250173093,-0.226138757,-0.293916936,-0.27361806,-0.225842508,-0.194196398,-0.252774535,-0.252536855,-0.199437103,-0.241762287,-0.248145226,-0.304095267,-0.222754689,-0.309368609,-0.197208821,-0.203213337,-0.323201928,-0.217569057,-0.246262361,-0.394942834,-0.260741617,-0.304408734,-0.318856638,-0.280423848,-0.337754772,-0.249319361,-0.26504097,-0.274167039,-0.212955191,-0.346276414,-0.352075031,-0.280161173,1
3775,Clone 23575 mRNA; partial cds,U79280_at,-0.133880342,-0.059800844,-0.351956032,-0.237219419,-0.361605245,-0.159733322,-0.26283433,-0.057755188,-0.201825876,-0.253803352,-0.204098919,-0.123677376,-0.31396452,-0.304963795,-0.450880188,-0.389904381,-0.321771419,-0.205267121,-0.231972378,-0.224439192,-0.250940827,-0.214331668,-0.243059377,-0.170291243,-0.169548762,-0.121986688,-0.155107084,-0.192343408,-0.25896211,-0.300437416,-0.198744509,-0.211237216,-0.119047635,-0.273017705,1
3776,Clone 23801 mRNA sequence,U79282_at,-0.187643492,-0.189105286,-0.242602461,-0.181405713,-0.289814615,-0.217703532,-0.237747922,-0.242585432,-0.191978656,-0.195966694,-0.214693953,-0.170657394,-0.221297883,-0.244601105,-0.298385486,-0.296432811,-0.227304482,-0.232377067,-0.218532311,-0.187035123,-0.171017022,-0.238282279,-0.203676206,-0.237763931,-0.196695649,-0.199563432,-0.201233995,-0.198461632,-0.23302564,-0.213575685,-0.192654217,-0.227715214,-0.150857724,-0.202710938,4
3777,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,U79285_at,-0.192494303,-0.052858324,-0.167316733,-0.03202197,0.08308643,-0.065171986,-0.046836102,-0.137081473,0.004109459,-0.12419858,-0.029916549,-0.153727658,-0.211338384,-0.209859989,-0.006549262,-0.000995885,-0.221452548,-0.079164795,-0.13667008,0.004183639,-0.225599133,-0.290109831,-0.370451878,-0.282469762,-0.157172976,-0.181503238,-0.202349969,-0.096363784,-0.127658733,-0.217389127,-0.222293639,-0.228920921,-0.130883947,-0.174889008,7
3778,Arginine methyltransferase mRNA,U79286_at,-0.302446009,-0.345745902,-0.307373422,-0.263074298,-0.323043421,-0.405181658,-0.250928916,-0.256864163,-0.265190594,-0.285465755,-0.231222207,-0.242185531,-0.305304086,-0.334928008,-0.364562432,-0.340247609,-0.275373941,-0.254147175,-0.336641996,-0.264133306,-0.271214183,-0.353716372,-0.314190206,-0.314757306,-0.297698035,-0.243482542,-0.286047992,-0.282969588,-0.328261114,-0.361452486,-0.250308982,-0.345874512,-0.352075031,-0.328661563,4
3779,Clone 23867 mRNA sequence,U79287_at,0.056109739,-0.137904198,0.004704845,-0.016016569,0.080214804,-0.133831738,0.133445884,-0.051012454,0.221176434,0.109258876,0.059505543,-0.072464924,-0.014313525,0.246551425,0.00537081,-0.124929172,-0.045058533,-0.047536524,-0.112640869,0.012198797,-0.004931454,-0.123240819,-0.032479974,-0.134278213,0.011696627,-0.086687217,-0.158455005,-0.142632846,0.006076188,-0.111036471,0.00142309,-0.133268155,-0.070592731,-0.11736529,4
3780,Clone 23682 mRNA sequence,U79288_at,-0.105583947,-0.140507643,-0.178672681,-0.128875166,-0.108902227,-0.018302454,-0.119544167,-0.202922289,-0.110203918,-0.176547087,-0.138833505,-0.207479571,-0.127765202,-0.061775981,-0.189460698,-0.175003227,-0.166695164,-0.061913011,-0.063360621,-0.097723366,-0.049376888,-0.132664011,-0.111648185,-0.240247589,-0.010659632,-0.161390749,-0.021934228,-0.121983843,-0.041744177,-0.013581846,-0.192654217,0.032315623,0.140981349,0.130024298,7
3781,Clone 23695 mRNA sequence,U79289_at,-0.210280608,-0.244211542,-0.247228958,-0.248300081,-0.302531812,-0.239493752,-0.248802949,-0.215217863,-0.266475014,-0.278288944,-0.219355768,-0.191396322,-0.257238681,-0.244601105,-0.292630968,-0.308951325,-0.249876228,-0.217589824,-0.253965216,-0.214515663,-0.255619294,-0.260269726,-0.181975275,-0.24480096,-0.270950367,-0.187249663,-0.213509705,-0.178959795,-0.237078214,-0.260184419,-0.223105678,-0.283177741,-0.214108017,-0.246323692,7
3782,Clone 23908 mRNA sequence,U79290_at,-0.241810877,-0.229458686,-0.251855456,-0.216699674,-0.266841613,-0.241138297,-0.221165381,-0.204508815,-0.236077075,-0.213275475,-0.219355768,-0.210442275,-0.240783858,-0.288027501,-0.262625272,-0.277237757,-0.21058467,-0.155976309,-0.172510261,-0.226347563,-0.241973766,-0.264981321,-0.243863115,-0.222034102,-0.24779567,-0.173704518,-0.164406864,-0.185460407,-0.243157074,-0.226287158,-0.206864899,-0.304076665,-0.218176749,-0.234292587,7
3783,Clone 23721 mRNA sequence,U79291_at,-0.24787439,-0.209065032,-0.172784412,-0.121077663,-0.07731435,-0.199613537,-0.090631018,-0.118043164,-0.182131436,-0.117021768,-0.160023575,-0.158806579,-0.190553344,-0.173816081,-0.101498794,-0.047314386,-0.053000443,-0.273452743,-0.171288436,-0.190851864,-0.23378645,-0.211583237,-0.198050039,-0.232796617,-0.164358916,-0.158107077,-0.203465942,-0.182018907,-0.17061601,-0.24704923,-0.143119842,-0.250623649,-0.229273292,-0.229780923,7
3784,Clone 23948 mRNA sequence,U79293_at,-0.192494303,-0.248550617,-0.256481953,-0.25240403,-0.30786483,-0.165900365,-0.223291348,-0.216011126,-0.248064995,-0.244515713,-0.222322378,-0.240069314,-0.262867963,-0.239389938,-0.293864079,-0.303526636,-0.244860284,-0.22950177,-0.224641432,-0.183981729,-0.238854788,-0.298355124,-0.232610781,-0.265498104,-0.240210511,-0.20448894,-0.222809486,-0.229435136,-0.211952259,-0.247896662,-0.201586646,-0.291617691,-0.204121129,-0.268882013,1
3785,Clone 23748 mRNA,U79294_at,0.210527209,0.164529346,0.275144638,0.073859914,0.093342234,0.33568585,0.155981133,0.186966401,0.029797859,0.013005169,0.053572323,0.032922685,0.16885464,0.071543052,-0.12081753,0.084130009,0.079922061,0.177147424,0.146385889,0.192349008,0.140880757,0.325146031,0.214267647,0.203085227,0.044831797,0.076264991,0.363448673,0.201517203,0.312450735,-0.151289469,0.119574756,0.325302455,0.400640448,0.054829894,7
3786,Clone 23961 mRNA sequence,U79295_at,-0.204217095,-0.183464488,-0.236293601,-0.238860999,-0.275456489,-0.211947624,-0.201181293,-0.170398512,-0.210388676,-0.23016209,-0.211303542,-0.205786597,-0.234288533,-0.287593237,-0.267968752,-0.306030338,-0.302543635,-0.174460364,-0.153368346,-0.189706842,-0.273163544,-0.246527572,-0.155853785,-0.231968731,-0.229830819,-0.20448894,-0.229505327,-0.186225185,-0.275577661,-0.199593065,-0.194278295,-0.337434562,-0.157145764,-0.203838854,7
3787,DLAT Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),U79296_at,-0.203408627,-0.179559321,-0.236714192,-0.198642299,-0.236484432,-0.169189455,-0.196504166,-0.179124404,-0.206963556,-0.189212048,-0.212151145,-0.187587131,-0.193584496,-0.238087146,-0.223165726,-0.220069877,-0.23106644,-0.190890634,-0.169252063,-0.16756974,-0.211563733,-0.257521295,-0.210106112,-0.222448045,-0.235419884,-0.16467442,-0.183750408,-0.214139578,-0.206683913,-0.199593065,-0.184533828,-0.247006528,-0.211148939,-0.21060635,4
3788,Clone 23589 mRNA sequence,U79297_at,-0.243832048,-0.102757689,-0.182457997,-0.146111752,-0.033829739,-0.158911049,-0.216488254,-0.154929887,-0.176993757,-0.170214606,-0.224441385,-0.186317401,-0.215668601,-0.244166841,-0.099443609,-0.205464944,-0.251966204,-0.13050939,-0.140742828,-0.174439875,-0.201427055,-0.233570684,-0.218143493,-0.233624503,-0.215059719,-0.105978789,-0.123115839,-0.152957347,-0.186421047,-0.227982021,-0.173977322,-0.175869807,-0.214108017,-0.239556195,7
3789,Clone 23803 mRNA; partial cds,U79298_at,-0.260405651,-0.255493137,-0.20979639,-0.260201534,-0.311967152,-0.297052826,-0.26283433,-0.187453664,-0.218095196,-0.191745041,-0.250717071,-0.228641742,-0.276291635,-0.326242729,-0.27906675,-0.352766123,-0.275791936,-0.236484635,-0.213237738,-0.178256617,-0.248991466,-0.235533849,-0.235021995,-0.203406673,-0.214261281,-0.195458843,-0.242153029,-0.232494247,-0.25734108,-0.229676884,-0.226759853,-0.297244325,-0.166022999,-0.228277035,1
3790,Neuronal olfactomedin-related ER localized protein mRNA; partial cds,U79299_at,-0.161368268,-0.251587969,-0.17152264,-0.277438119,-0.254124416,-0.156033095,-0.229244055,-0.077983391,-0.198400756,-0.267734809,-0.178247034,-0.277737977,-0.198780756,-0.231138923,-0.326335997,-0.293929108,-0.232320425,-0.153101012,-0.105309923,-0.193523584,-0.332424122,-0.129130314,-0.177152846,-0.330487135,-0.378739476,-0.221728216,-0.230621301,-0.144544791,-0.159268805,-0.33009752,-0.312429961,-0.283579644,-0.062825152,-0.244819804,7
3791,Clone 23629 mRNA sequence,U79300_at,-0.230492319,-0.246381079,-0.247228958,-0.285235622,-0.307454598,-0.221814894,-0.240299082,-0.205698709,-0.235648935,-0.236916736,-0.239274434,-0.238799583,-0.257238681,-0.277605166,-0.292219931,-0.312289595,-0.263252077,-0.214714526,-0.2380815,-0.196576977,-0.252890189,-0.289717198,-0.211713588,-0.239419703,-0.294105065,-0.189712417,-0.194166162,-0.192725797,-0.239509758,-0.202559076,-0.207676938,-0.290010082,-0.243328913,-0.25722688,7
3792,Clone 23842 mRNA sequence,U79301_at,-0.226854211,-0.175220245,-0.245546596,-0.25240403,-0.311146688,-0.226337393,-0.232645602,-0.179124404,-0.234364515,-0.236494571,-0.231222207,-0.200284433,-0.245114074,-0.267182831,-0.298796522,-0.318548852,-0.270775993,-0.180621715,-0.194503099,-0.164516346,-0.214292838,-0.315630974,-0.194835086,-0.267567818,-0.22184644,-0.169599928,-0.216857626,-0.208786133,-0.202226083,-0.225863442,-0.212143152,-0.312516615,-0.237040872,-0.271137845,4
3793,Clone 23855 mRNA; partial cds,U79302_at,-0.243832048,-0.112303654,-0.324197049,-0.258559954,-0.280789507,-0.362012352,-0.244125822,-0.209268392,-0.310573433,-0.220452287,-0.166380595,-0.152881171,-0.271528396,-0.29671278,-0.321403554,-0.301022933,-0.176727051,-0.168299012,-0.243376072,-0.157646211,-0.263026866,-0.276367677,-0.222162184,-0.223275931,-0.272547243,-0.172062682,-0.158455005,-0.199608798,-0.14184274,-0.195355908,-0.176007419,-0.391691383,-0.357253418,-0.273017705,7
3794,Clone 23882 mRNA,U79303_at,-0.041310707,0.203147115,-0.307794013,-0.219162044,-0.107261298,-0.330354862,-0.282818418,-0.461525978,-0.263906174,-0.250426029,-0.239698235,-0.223986064,-0.006086114,-0.010098571,-0.133970711,-0.20170939,0.020566729,-0.176514148,-0.1460374,-0.253446429,0.228602008,-0.180957866,0.046688236,0.064000422,-0.220648784,-0.101874199,-0.123115839,-0.170929628,-0.124821931,-0.005107531,-0.180473633,-0.191142097,0.258234817,0.070620719,7
3795,Clone 23909 mRNA; partial cds,U79304_at,-0.285063938,-0.244645449,-0.252276046,-0.213416515,-0.316069474,-0.277729423,-0.241999856,-0.23663596,-0.259624775,-0.266046148,-0.250717071,-0.224409307,-0.26460005,-0.274565318,-0.301673781,-0.323138974,-0.256564153,-0.233609337,-0.25681614,-0.187035123,-0.238854788,-0.323483634,-0.243863115,-0.266739933,-0.2589738,-0.235273362,-0.258148651,-0.214521967,-0.264230455,-0.273319608,-0.207676938,-0.31171281,-0.281796927,-0.285424781,1
3796,Orphan G-protein coupled receptor Dez isoform a mRNA,U79526_at,-0.259597183,-0.275018976,-0.184981541,-0.245016922,-0.30212158,-0.226337393,-0.256031237,-0.250121429,-0.196688196,-0.196811025,-0.252836078,-0.205363354,-0.251176378,-0.271959734,-0.297563412,-0.328563663,-0.247368256,-0.234430851,-0.193281274,-0.194668606,-0.243143383,-0.286968767,-0.231003304,-0.235280274,-0.25538083,-0.16877901,-0.149527216,-0.216816301,-0.237888728,-0.234337758,-0.201586646,-0.253035063,-0.308058745,-0.253091188,4
3797,Reelin (RELN) mRNA,U79716_at,-0.083351065,-0.172182893,-0.17152264,-0.162527548,-0.237715129,-0.029814269,-0.16674063,-0.180710929,-0.162436997,-0.165992952,-0.197318096,-0.164731987,-0.187522193,-0.189015319,-0.236729945,-0.236343945,-0.16878514,-0.109971552,-0.107346297,-0.130547345,-0.197528333,-0.176638903,-0.134152854,-0.099920955,-0.186715176,-0.112135673,-0.084056761,-0.149898236,-0.136574394,-0.142391438,-0.130939258,-0.132062448,-0.166022999,-0.162857904,7
3798,Endonuclease III homolog mRNA,U79718_at,-0.017865122,-0.012504924,-0.119369398,-0.012323015,-0.116696638,0.158897266,0.022470417,-0.037923617,-0.000600081,-0.022034558,0.053572323,-0.021252471,-0.089659296,-0.082620651,0.072780867,0.150895415,-0.170457122,0.092942288,-0.039331409,-0.024823598,-0.111756444,-0.078480661,-0.042124832,-0.091228155,-0.044194022,-0.043589026,0.025308657,-0.113571286,-0.023912855,-0.095782704,-0.024968176,0.047989816,0.056647625,-0.066985039,7
3799,A33 antigen precursor mRNA,U79725_at,-0.121349081,0.085124269,0.027837332,-0.065674352,-0.253714184,0.144918633,-0.11614262,-0.194196398,-0.172712357,-0.151639329,-0.181637445,-0.057228161,-0.079699797,-0.211597045,-0.210012544,-0.214227904,-0.085604076,0.032561044,-0.107346297,-0.121768839,-0.052495866,-0.129130314,-0.101199588,-0.135933985,-0.157572194,-0.13717367,-0.047229631,0.044355347,0.02714957,-0.080105221,-0.115916537,-0.099106454,0.098814487,-0.033147558,1
3800,Huntingtin interacting protein (HIP1) mRNA,U79734_at,-0.331550873,-0.375685521,-0.223255291,-0.203977432,-0.363656406,-0.424505061,-0.200756099,-0.290974465,-0.277606654,-0.258025005,-0.243512447,-0.232874176,-0.26460005,-0.323202881,-0.246183795,-0.335240204,-0.284987833,-0.243878256,-0.33867837,-0.205355483,-0.316439361,-0.269692917,-0.217339755,-0.200923016,-0.276539432,-0.181503238,-0.237689134,-0.254290417,-0.270309315,-0.390688873,-0.203210724,-0.355922071,-0.357253418,-0.286928669,4
3801,Basic-leucine zipper nuclear factor (JEM-1) mRNA,U79751_at,-0.246661688,-0.255927045,-0.278773258,-0.259380744,-0.315249009,-0.329121453,-0.237322729,-0.229099963,-0.260481055,-0.292642567,-0.247750461,-0.23964607,-0.278889765,-0.29454146,-0.310305557,-0.324808109,-0.277463917,-0.237716905,-0.290619946,-0.222530821,-0.259518016,-0.319164671,-0.235021995,-0.28081399,-0.318457419,-0.24019887,-0.270796353,-0.248172194,-0.269498801,-0.290691954,-0.227571892,-0.32859271,-0.312127477,-0.273017705,4
3802,Btf2p44 gene (basic transcription factor 2 p44) extracted from Human basic transcription factor 2 p44 (btf2p44) gene; partial cds; neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna1_at,-0.175112232,-0.181728858,-0.250593684,-0.206439802,-0.098646423,-0.253061248,-0.188425492,-0.198955975,-0.205679136,-0.177391418,-0.213422549,-0.205363354,-0.238185728,-0.251115065,-0.243717573,-0.243020485,-0.249876228,-0.231555554,-0.196539473,-0.187035123,-0.233006705,-0.220613796,-0.235021995,-0.24480096,-0.193901116,-0.162211667,-0.221693512,-0.083744949,-0.210331229,-0.212728254,-0.18290975,-0.275139694,-0.157885534,-0.203838854,4
3803,Naip gene (neuronal apoptosis inhibitory protein) extracted from Human basic transcription factor 2 p44 (btf2p44) gene; partial cds; neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna2_at,-0.17106989,-0.161769112,-0.238396555,-0.229011521,-0.266021149,-0.208247398,-0.206708806,-0.217201021,-0.245068015,-0.24113839,-0.228679399,-0.211288762,-0.198780756,-0.245035369,-0.287698525,-0.291425406,-0.230648444,-0.170352796,-0.213237738,-0.192760235,-0.089533727,-0.216294833,-0.23743321,-0.27212119,-0.158769851,-0.078478038,-0.145807304,-0.147986291,-0.17223704,-0.183915582,-0.210113055,0.025885185,0.213108877,0.386061241,4
3804,Smn gene (survival motor neuron protein SMN) extracted from Human basic transcription factor 2 p44 (btf2p44) gene; partial cds; neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna3_at,-0.180771511,-0.101455966,-0.12063117,-0.108765816,-0.029317185,-0.169600591,-0.058316322,-0.14184105,-0.146595817,-0.0081031,-0.107896004,-0.11055683,-2.38E-05,0.051132646,-0.080124873,0.031969534,-0.071810232,-0.14570739,-0.144001026,-0.109173591,-0.197918205,0.164559147,-0.081508003,-0.069289183,-0.164358916,-0.088739512,-0.178170539,-0.116630398,-0.059170243,-0.051292549,-0.033088565,-0.13567957,-0.143090144,-0.034651446,7
3805,Mitochondrial intermediate peptidase precursor (MIPEP) mRNA; mitochondrial gene encoding mitochondrial protein,U80034_at,-0.286680875,-0.392607915,-0.4659361,-0.354181965,-0.40796148,-0.41916029,-0.270062618,-0.324291505,-0.284885034,-0.304041032,-0.254531283,-0.240069314,-0.350771361,-0.371840444,-0.349354065,-0.422452517,-0.333475287,-0.250861121,-0.417282401,-0.277873576,-0.361664539,-0.364710095,-0.360003282,-0.353667936,-0.31047304,-0.250049885,-0.464231786,-0.332680151,-0.413365155,-0.363147349,-0.25233908,-0.399327528,-0.569567268,-0.398592359,1
3806,ACO2 Aconitase 2; mitochondrial,U80040_at,-0.137114216,0.070805321,-0.049551349,-0.022582887,-0.06418692,0.052412979,-0.028127594,-0.03316404,0.025088319,0.032002611,-0.038816378,0.028267008,-0.075369581,-0.088700346,0.070725682,0.019868304,-0.073482213,0.002986557,0.067781857,0.000366898,0.081230307,-0.10086074,-0.136564068,-0.101576727,0.078366187,-0.043589026,-0.196398109,-0.018738828,-0.014186679,-0.013581846,-0.048923324,0.08938576,-0.146049222,-0.02788395,4
3807,GB DEF = Tip associating protein (TAP) mRNA,U80073_at,-0.05505467,-0.046349711,0.061063994,-0.139955828,-0.076904117,-0.075450392,-0.128898421,-0.057755188,-0.107206938,0.13627746,0.078576605,0.139580024,0.218652132,0.006837723,0.034143395,0.337421271,0.028926635,-0.079986309,0.014428862,0.019832281,-0.187781527,0.097026276,-0.014395865,-0.061010325,-0.077329192,-0.046872698,0.005965113,-0.08680406,0.741212997,-0.001717805,-0.141495764,0.091395272,0.29115456,0.067236971,7
